Name,Link Address
Restaurants,https://www.yelp.com/search?cflt=restaurants&find_loc=San+Francisco%2C+CA%2C+US
Shopping,https://www.yelp.com/search?cflt=shopping&find_loc=San+Francisco%2C+CA%2C+US
Nightlife,https://www.yelp.com/search?cflt=nightlife&find_loc=San+Francisco%2C+CA%2C+US
Active Life,https://www.yelp.com/search?cflt=active&find_loc=San+Francisco%2C+CA%2C+US
Beauty & Spas,https://www.yelp.com/search?cflt=beautysvc&find_loc=San+Francisco%2C+CA%2C+US
Automotive,https://www.yelp.com/search?cflt=auto&find_loc=San+Francisco%2C+CA%2C+US
Home Services,https://www.yelp.com/search?cflt=homeservices&find_loc=San+Francisco%2C+CA%2C+US
More,https://www.yelp.com/search
